itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
1780630002,67736377,✅COD MESIN JAPAN JAM TANGAN LED DIGITAL FASHION KIDS & TEENAGER REMAJA DISPLAY WATCH ELEKTRONIK LED WANITA PRIA,35688,13897,24773,4850.0,4.4378294427710845,85094,3212,2095,7511,13798,58478,KOTA JAKARTA BARAT,shopee
14334540555,3720074,WBS Jam Tangan LED Digital Pria Wanita Rubber Tahan Air Electronic Fashion Couple Anak Remaja Premium M139 RM009,1191,11053,14822,8900.0,4.553167684490234,42934,1177,767,2575,7015,31400,KOTA JAKARTA SELATAN,shopee
6515540869,28824240,Jam Tangan Pria Sport Chrono Fashion Quartz Men Silikon Analog Watch / Jam Tangan Pria Sport,21454,9152,11562,10800.0,4.62365655779421,33484,894,465,1674,4349,26102,KOTA TANGERANG,shopee
14247951895,3720074,WBS Jam Tangan LED Digital Pria Wanita Rubber Electronic Fashion Couple Anak Remaja Premium RM015,357181,7706,15325,9000.0,4.350315210948866,37136,1825,1185,3346,6598,24182,KOTA JAKARTA SELATAN,shopee
6760569852,3720074,WBS Jam Tangan Pria GT Sport Chrono Grand Touring Korea Fashion Quartz Silikon Rubber Analog Watch GT002,893,7234,5217,10700.0,4.330158304266166,22374,1510,732,1717,3347,15068,KOTA JAKARTA SELATAN,shopee
23710223985,769712982,HANNAH MARTIN Jam Tangan Pria 100% Original Keren Sangat tipis Quartz COWOK Couple Kulit Anti Air Men Watch COD Laki Arloji Men Watch murah CH03+,152,4693,19440,96000.0,4.845900197845681,18196,40,36,194,2148,15778,KAB. TANGERANG,shopee
18298860,3720074,WBS WATER RESIST JAM TANGAN PRIA CASIO G SHOCK GSHOCK ANTI AIR RUBBER DIGITAL DUAL TIME GWG 1000 GK002,406313,4435,52183,45900.0,4.676587177400847,96173,1733,1091,3722,13513,76114,KOTA JAKARTA SELATAN,shopee
9709966891,3720074,WBS ✅COD JAM TANGAN COUPLE ALBA RANTAI GROSIR PRIA WANITA PASANGAN MURAH PREMIUM AL013,104380,4206,5504,16800.0,4.502346431323107,14291,583,298,897,2105,10408,KOTA JAKARTA SELATAN,shopee
13067318603,604015003,Aokeyo S001 Jam Tangan Pria Anti Air Original Luxury Stainless Steel（Free BOX+Kartu）,126,3957,28171,79999.0,4.721857335743873,43705,491,414,1405,6160,35235,KAB. TANGERANG,shopee
2895484346,7662138,JAM TANGAN PRIA GSHOCK GST-8600 CASIO G SHOCK GST8600 METAL RUBBER ANTI AIR,50116,3673,27778,51700.0,4.687261594677003,81209,1077,753,3321,12296,63762,KOTA JAKARTA PUSAT,shopee
