itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
20918604759,105474280,COD / SETELAN BAJU BOLA ANAK / SET BOLA ANAK LAKI LAKI TERBARU / BAJU OLAHRAGA ANAK TERMURAH / KAOS OLAHRAGA ANAK / BAJU FUTSAL ANAK,51270,4486,2326,24300.0,4.730604807624921,14272,112,130,449,2108,11473,KOTA JAKARTA BARAT,shopee
23869078327,377825137,Setelan baju olahr raga anak terbaru / setelan anak jersey ronaldo / setelan jersey al nassr terbaru / setelan jersey sepak bola anak / MASCULINO MART,411734,3215,556,26000.0,4.608750953955736,3931,56,62,196,736,2881,KOTA JAKARTA SELATAN,shopee
4033906753,135531150,SAJ(COD)Stelan kaos Bola Anak (SD & SSB ) U5 s/d U13 tahun,22029,3235,5619,33600.0,4.689321474520334,17908,178,169,730,2895,13936,KAB. TANGERANG,shopee
9230980470,370823247,Kaos Kaki Bola AVO R8 Anti Slip Dewasa ORI Diatas Lutut,5534,2922,257,21490.0,4.918575063613232,1971,2,2,15,117,1835,KAB. JEMBER,shopee
3945291892,293002443,"Baselayer Football Manset Lengan Panjang Thumbhole, Baju Olahraga Sepeda Lari Futsal Sepakbola Voli",256493,2840,7623,22500.0,4.7022477022477025,21994,140,187,889,3692,17086,KOTA BANDUNG,shopee
3170203760,282775515,HIT-COD JERSEY KAOS BOLA FUTSAL DEWASA/FC (baju plus celana),8982,2838,3815,37130.0,4.5765371477369765,9385,145,142,563,1853,6682,KAB. TANGERANG,shopee
20034302888,60586178,( FREE SABLON NAMA) Stelan anak laki/perempuan baju olahraga bola futsal badminton volly usia 5-14 tahun,36001,2644,4375,44100.0,4.679630850362558,9107,111,94,332,1526,7044,KAB. TANGERANG,shopee
21084511117,206244687,KAOS GYM IMPORT KAOS RUNNING BAJU BOLAHRAGA PRIA DEWASA BAJU VOLI KAOS BADMINTON TERMURAH BAJU TRAINING JERSEY FUTSAL PREMIUM KAOS OLAHRAGA POLOS,130685,2716,1975,55460.0,4.570364854802681,1344,26,25,83,232,978,KOTA JAKARTA BARAT,shopee
22535421239,508872771,"Kaos Kaki Bola /Kaos Kaki Futsal (N13) Hitam, Merah, Bir, Putih Panjang Diatas Lutut",357943,2503,455,9932.0,4.747244094488189,2540,19,20,78,350,2073,KAB. BANDUNG,shopee
21580034990,850323478,BISA COD / SETELAN BAJU BOLA RONALDO TERBARU / JERSEY AL NASR LIGA ARB TERMURAH / SET KAOS UNISEKS COWO CEWE BERKUALITAS CEPAT KERING NYAMAN,18162,2266,351,22770.0,4.754495159059474,2892,22,21,67,425,2357,KOTA JAKARTA BARAT,shopee
