itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
22881592461,35285498,atasan kaos crop oversize fit XL Dhambtons serut,2871,1020,690,13500.0,4.159663865546219,238,13,10,35,48,132,KOTA JAKARTA BARAT,shopee
21484308962,61188543,Kaos distro lengan panjang DC,11591,133,12,26000.0,4.310344827586207,58,3,2,4,14,35,KOTA JAKARTA BARAT,shopee
19741110128,795072465,Kaos Pria / Baju Distro Pria / Kaos Distro / Kaos Motif Depan Belakang / Kaos Sanamy / Kaos Original / Baju Oblong Pria,122522,4380,2222,28900.0,3.8384615384615386,2730,384,160,340,475,1371,KAB. BANDUNG,shopee
22256411685,307992248,BAJU VINTAGE / KAOS DISTRO COWOK / KAOS PUTIH PRIA DISTRO / KAOS MOBIL VINTAGE WHITE / BAJU ORIGINAL DISTRO / STERETWEAR STYLE / TSHIRT ATASAN PIRA WANITA / UNISEX / RETRO / KLASSIK / OVERSIZE / HI VABA / KARIMAKE / BENIDSON / KARUNG JANTAN / ELEVENDAYS,22357,87,34,45550.0,4.428571428571429,35,1,2,0,10,22,KOTA BANDUNG,shopee
23680847804,818844379,MORSKY T-shirt AWESOME 24S I Hitam Black,130,287,424,69900.0,4.768361581920904,177,0,3,7,18,149,KAB. BANDUNG,shopee
23355363308,152829781,Clote Kaos Salur Pocket Oversize Cotton Combed 24s - Brown White,3374,1414,3938,59143.0,4.791850220264317,908,7,3,16,120,762,KOTA BANDUNG,shopee
23981374102,175456753,Dobujack Tshirt Basic Small Patch Black Tees,5612,354,362,69900.0,4.774193548387097,403,6,2,9,43,343,KOTA BANDUNG,shopee
23881254045,584850260,FENJACK Tshirt / Kaos Lengan Pendek DEATH HAS NO POWER ( Sablon ) Size S-XXL - Pria & Wanita,4444055,148,340,39900.0,4.111111111111111,54,7,2,3,8,34,KOTA JAKARTA BARAT,shopee
23682048374,283708471,BANDIT - Baju kaos full print BRUNO | kaos keren lengan pendek | baju atasan casual | baju kaos keren motif keren,4211,468,164,37050.0,4.4822695035460995,282,7,8,25,44,198,KOTA JAKARTA BARAT,shopee
22456361724,327213106,Kaos Pilot Darat Stut Division / Baju Distro Yo Kerjo Yo piknik Atasan Pria Wanita,3557,5,4,54900.0,4.066666666666666,15,1,2,0,4,8,KOTA TANGERANG SELATAN,shopee
21093686202,545278557,Baju Kaos Pria Distro Street Cool Top Authentic,7851,49,4,35900.0,4.607142857142857,28,0,1,2,4,21,KAB. BANDUNG,shopee
22081084197,1049951268,Baju Kaos T Shirt Cotton katun 100% original combed 24s Premium Pria Wanita Unisex 98,299914,80,1191,65000.0,4.647058823529412,34,1,1,1,3,28,KAB. BOGOR,shopee
20224438795,205337335,KAOS TSHIRT OVER SIZE DISTRO HITAM MOTIF RANDOM,291,7,15,32500.0,4.909090909090909,11,0,0,0,1,10,KOTA SURABAYA,shopee
12637527360,177400943,Aerostreet T Shirt Never To Late Hitam Kaos T-Shirt Tshirt AADAA,149,2438,9570,59900.0,4.831304168386298,9697,50,35,178,987,8447,KAB. KLATEN,shopee
9676425192,294963387,KAOS  TSHIRT Barker 7 WORLD WIDE COMPANY| T Shirt pria | Kaos Pria | Kaos Distro | Kaos keren | Oblong,5018,603,12830,72800.0,4.7804164321890825,8889,58,38,221,1177,7395,KAB. BANDUNG,shopee
12999213725,175456753,Dobujack Tshirt Stripe Snuffy Blue White Tees,3213,867,1989,88000.0,4.765706806282722,764,3,4,24,107,626,KOTA BANDUNG,shopee
23456476146,298178082,Baju Kaos Musik Band Distro NECKDEEP Tebal 24s,10712,981,523,33000.0,4.418219461697722,483,19,13,34,98,319,KAB. BANDUNG,shopee
4677225721,374619446,Kaos T shirt RTSDVSN SImple | Kaos Distro Pria | Kaos Distro | Kaos Pria Wanita ~ FREE STIKER,31960,8,12,39900.0,4.666666666666667,6,0,0,1,0,5,KOTA TANGERANG SELATAN,shopee
22872890220,165115723,Jackarmy - Tshirt Creates,435,630,6186,79550.0,4.79073756432247,1166,7,1,37,139,982,KOTA BANDUNG,shopee
18571543182,372216286,Kaos Tshirt Pria Terbaru Samurai Jepang Uchiha Sasuke Warna Hitam Distro Lengan Pendek Motif Sablon Bergambar Keren,479788,23,66,39900.0,4.582089552238806,134,1,2,10,26,95,KOTA JAKARTA BARAT,shopee
19034173103,10919960,FC - KAOS OVERSIZE CHALLENGE BEAR // KAOS CEWE COWO UNISEX T- shirt,313,187,194,15000.0,4.511848341232228,422,11,12,28,70,301,KOTA JAKARTA BARAT,shopee
22181325261,1080611204,4 pcs 100 Ribu kaos pria | kaos pocket saku pria dan wanita | kaos distro | kaos distro pria dan wanita | atasan pria | kaos wanita | kaos polos | kaos model terbaru | kaos polos pria dan wanita | kaos | atasan wanita,6293,888,458,90000.0,4.557603686635945,434,11,7,25,77,314,KOTA JAKARTA BARAT,shopee
13771170306,177400943,Aerostreet T Shirt Streetwear Skate Hitam Kaos T-Shirt T-Shirt AAAAA,773,2174,10631,69900.0,4.816686358265928,11007,62,55,197,1223,9470,KAB. KLATEN,shopee
22055365712,904614282,Kaos Distro King Nassar Combat 30s Premium - T-Shirt Pria dan Wanita,499962,13,38,64999.0,5.0,5,0,0,0,0,5,KOTA TANGERANG SELATAN,shopee
22819062194,608066873,"KAOS DISTRO PILOT DARAT, KAOS RACING, KAOS RACE PILOT DARAT, KAOS DISTRO MENAKIK AMATIR, KAOS DISTRO PILOT RACE, KAOS DISTRO SPEED RACE, KAOS DISTRO GAS, KAOS DISTRO RACING LINE, KAOS PILOTER DARAT, KAOS DISTRO NEW DESAIN RACING",26798,92,273,69200.0,4.602112676056338,284,6,1,23,40,214,KAB. TUBAN,shopee
9268355179,85434470,House of Smith Kaos Pria Lengan Pendek - Wave Black #4,410,52,1438,74000.0,4.853305785123967,1452,4,1,22,150,1275,KAB. BANDUNG,shopee
20943392025,795072465,Baju Kaos Distro Sanamy Dewasa / Kaos Distro / Baju Pria Keren / Kaos Murah / Kaos Original / Pakaian Pria,124961,5225,3942,28900.0,3.8195806885939603,5203,726,354,619,933,2571,KAB. BANDUNG,shopee
21291396193,545278557,Tshirt Sultan Terlaris kaos Aerostreet Combad Premium / Baju Kaos Pria Keren Termurah / Shirt Oblong Katun Aerostreet Model Terbaru / Kaos Katun Picture Screen Printing Aero Street Banyak Warna,10446,1013,534,39900.0,4.460424710424711,1036,27,30,87,187,705,KAB. BANDUNG,shopee
14199046591,545278557,New Tshirt Sultan Terbaru AeroStreeet Lengan Pendek / Kaos Oblong Aerostreet Model Sultan / Baju Kaos Aerrostreet Katun Combad / Atasan Simpel Pria Dan Wanita Keren Kaos Distro Premium High Quality,5665,54,33,35900.0,4.239130434782608,92,8,2,8,16,58,KAB. BANDUNG,shopee
21220875391,165302565,Kaos Pria Distro Lengan Pendek Kayser Time Baju T-Shirt Keren,3536,3627,6715,42900.0,4.462843695813723,8077,194,197,704,1562,5420,KOTA JAKARTA BARAT,shopee
21393467996,576097092,T-shirt Distro Premium Bahan Katun l Kaos Pria Wanita Motif Simpel,57454,3267,605,39000.0,4.649200710479573,1126,16,13,66,160,871,KOTA CIMAHI,shopee
23781290746,287951866,Milota Fashion Baju Kaos Atasan Distro Pria Wanita One Piece Smile,209874,75,20,30240.0,4.530612244897959,49,1,0,3,13,32,KOTA JAKARTA BARAT,shopee
19284801092,545278557,Kaos Pupuler Keren Kekinian Pria Remaja Dewasa / Kaos Oxigen Model Pria terbaru / Baju Koas Katun Oxigent Combad  Premium / Atasan Baju Kaos Casual Keren Simpel,15906,47,6,35900.0,4.64,25,0,1,1,4,19,KAB. BANDUNG,shopee
22655302980,230162606,Baju Kaos Motif Distro Cowok Cewek Dewasa Full Sablon Terbaru,1385156,393,37,18500.0,4.286764705882353,136,3,3,23,30,77,KAB. JEPARA,shopee
10952278771,545749123,[COD]KAOS PRIA WANITA / KAOS DISTRO BANDUNG / KAOS TSHIRT FREE STICKER,47825,245,2118,46400.0,4.5258080077182825,2074,43,33,153,409,1436,KOTA BANDUNG,shopee
14299557138,44187183,TSHIRT NOCOPYRIGHT.CO BLACK COLLECTION /  KAOS DISTRO BAJU PRIA WANITA ATASAN COTTON COMBED 30s,102,910,1215,35000.0,4.570588235294117,340,2,6,25,70,237,KOTA JAKARTA UTARA,shopee
20990428859,391928983,"KAOS PUTIH DISTRO PRIA  / BAJU DISTRO PREMIUM / KAOS NASCAR VINTAGE "" FAST AND FURIOUS "" / T-SHIRT VINTAGE NASCAR RUMBLE WHITE / KAOS MOBIL BALAP / OVERSIZE / UNISEX / KAOSAYE / BILLIONSTARS / MISCAST / MNST",17667,1246,937,49950.0,4.572931276297335,1426,25,32,90,233,1046,KOTA BANDUNG,shopee
22980641394,1031182688,Baju Kaos Distro Terbaru Tshirt Together Bomb Climb Pakaian Pria Wanita Keren Lengan Pendek Katun Hitam Putih Motif Sablon Bergambar Simpel Cod,383900,47,3,39900.0,4.275862068965517,29,2,1,3,4,19,KOTA JAKARTA BARAT,shopee
14654153667,239656770,kaos pria/JAPANESE ELANG NAGA MONOGRAPH GREATLIGHT OFFICIAL/kaos hitam,38,38,90,24500.0,4.6570247933884295,242,3,4,12,35,188,KOTA JAKARTA BARAT,shopee
23780639603,1076288251,Paket 4pcs 100rb kaos pria terbaru| kaos distro | kaos wanita | kaos motif | kaos oblong | kaos pria | kaos polos | kaos original pria wanita | kaos pria dewasa | kaos unisex | kaos  termurah | kaos terlaris | atasan pria | atasan wanita | t-shirt,79801,60,20,107800.0,4.297297297297297,37,3,1,2,7,24,KOTA JAKARTA BARAT,shopee
20480806387,389105544,T-shirt Distro Vintage / Kaos Pria & Wanita / Retro / Classic / Street Bike Racer / Fast and Furious / Racing 81 / Alive Angel / Nascar / Cowok Cewek / Streetwear / Baju Putih / Hotrod / Oversize / Tamia / Disney / MNST / KAOSAYE / MISCAST / BRAINSGLAND,13259,1392,2856,48600.0,4.558890147225368,1766,32,37,111,318,1268,KOTA BANDUNG,shopee
17298016455,468059873,Hoogal Kaos Luffy Kaos distro 24s,79972,14,27,70500.0,4.6923076923076925,13,0,0,1,2,10,KAB. BANDUNG,shopee
20342770371,836627177,The Monseur Gallery T-shirt Oversize Blue Heart | Kaos Hitam,40235,923,17335,58000.0,4.528588564574171,2501,75,62,152,389,1823,KOTA SURABAYA,shopee
17138458255,278078503,KAOS PRIA TRENDI .KAOS PRIA LIHUI SWEATER PRIA ATASAN PRIA LENGAN PANJANG,719999,191,23,66999.0,3.8947368421052633,57,6,3,10,10,28,KOTA JAKARTA BARAT,shopee
22680615347,64271126,KAOS PRIA DISTRO MAN STYLE 1987 / KAOS PLURALISME / KAOS PRIA KEREN TERBARU / KAOS COWO / KAOS UNISEX / KAOS PRIA TREND / KAOS VIRAL / KAOS STREETWEAR,1348,232,44,33900.0,4.722689075630252,119,0,0,6,21,92,KOTA JAKARTA BARAT,shopee
