itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
2212324501,12140301,"Kursi kantor,kursi kerja,kursi staff,kursi belajar",1609,248,7175,262000.0,4.761750405186386,3757,21,26,109,511,3090,KOTA TANGERANG,shopee
23877552295,969073131,Kursi Makan Kursi Cafe Kursi Kerja  Kursi Minimalis Kursi Taman Bangku Bakso,8175,652,1719,48000.0,4.760204081632653,196,4,3,4,14,171,KAB. TANGERANG,shopee
15110602465,609880674,Kursi Lipat / Lazy Sofa Bed / Tatami / Kuris Lesehan / Sofa Lipat,303,439,24198,143000.0,4.793180369662205,3138,20,25,74,346,2673,KOTA TANGERANG,shopee
22076358013,305565368,Bangku Jengkok Kotak / Bangkok Duduk / Jengkok Plastik Multifungsi,288,424,190,5793.0,4.705882352941177,374,3,5,20,43,303,KOTA JAKARTA BARAT,shopee
19678044388,969073131,Kursi Lipat  Kursi Kantor  Bangku Lipat Kursi Belajar Kursi Cafe   Kursi Teras Kursi Folding  Kursi Kerja outdoor,149,120,789,129000.0,4.67816091954023,174,7,6,1,8,152,KAB. TANGERANG,shopee
12678869745,520346605,Kursi Mini Lipat Portable Praktis Kursi Anak anak Plastik Tebal Unik Murah MH006,4621,703,652,14999.0,4.7855855855855856,1120,7,5,27,142,939,KOTA JAKARTA BARAT,shopee
3254670220,119157255,SPEEDS Kursi Lipat Camping Kursi Lipat Outdoor Portable Kursi Gunung Bangku 031-12,371659,409,27141,64800.0,4.820984625449787,24681,173,86,423,2648,21351,KOTA SURABAYA,shopee
22137271764,969073131,Kursi Cafe Kursi Outdoor Kursi Belajar Kursi Kantor Kursi Kerja Kursi Makan Minimalis Kursi Taman Kursi Bar/kursi santai/Kursi Eames,2647,781,3895,113000.0,4.666666666666667,1281,39,18,41,135,1048,KAB. TANGERANG,shopee
7354699525,171039424,SPEEDS Kursi Lipat Outdoor Kursi Lipat Camping Portable Kursi Gunung Kursi Sauna Bangku 031-12,61285,2142,9144,57600.0,4.7982619029933895,13746,136,67,236,1548,11759,KOTA SURABAYA,shopee
22366704150,12140301,"Kursi Kantor Kursi Belajar, Kursi Kerja, Kursi hidrolik, Kursi Cafe",2363,3227,6404,198000.0,4.7640945700181865,3860,23,31,116,491,3199,KOTA TANGERANG,shopee
10159749071,547380386,Kursi Cafe / Kursi Lipat / Kursi Tamu / Kursi Kantor / Kursi Outdoor / Kursi Bangku Bar / Kursi Milenial Cafe Kursi Belajar Kursi Santai Kursi Multifungsi 1pcs,8344,231,8315,55500.0,4.722515856236787,1892,24,17,69,240,1542,KOTA JAKARTA BARAT,shopee
18485532354,299448827,SPESIAL!! Kursi Baso Segi Rotan Plastik Kursi Taman Kursi Bakso Plastik Rotan Kursi Plastik Rotan Baso,10999793,164,25,15000.0,4.892857142857143,28,0,0,0,3,25,KOTA BEKASI,shopee
5980025079,296683203,indor.id BEAN BAG Sofa Triangle WATERPROOF Plus isi Size M Standart - Bean Bag Murah - Bean Bag Sofa dewasa,1036,153,1804,149000.0,4.795586527293844,867,3,3,26,103,732,KAB. BANTUL,shopee
22883747992,800545656,Kursi Baso Segi Rotan Plastik Kursi Taman Kursi Bakso Plastik Rotan Kursi Plastik Rotan Baso,1097013,1277,142,20100.0,4.7846153846153845,195,2,2,8,12,171,KOTA BEKASI,shopee
23850328890,236553923,[FREE ONGKIR & BISA COD] Kursi Bangku Bakso Baso Plastik Rotan Anyaman Rattan Stool Smile Hitam,19809,169,36,25250.0,4.864077669902913,103,0,1,2,7,93,KOTA BEKASI,shopee
23559598138,933915287,Damaindah  Bangku / Bangku Kecil / Bangku Kopi / Bangku Cafe / Bangku Makan / Minimalis,546,32,386,90000.0,4.875,24,0,0,0,3,21,KOTA TANGERANG,shopee
1682081035,105034258,Kursi Susun Stainless Kursi Kantor Pesta Kursi Kantor Model Futura Kursi Kondangan,4606,214,3908,141000.0,4.596514047866806,3995,106,76,212,528,3073,KOTA JAKARTA UTARA,shopee
19191805838,489420602,KURSI BASO/KURSI PLASTIK SMILE & TABITHA DAYA TAHAN LEBIH KUAT FREE LAPISAN KARDUS (LEBIH SEFTI),40477,2477,518,21500.0,4.8540630182421225,603,4,2,9,48,540,KOTA BOGOR,shopee
10238886507,478202699,Kursi Bakso 50Cm dan 75Cm/Bangku Cafe/Kursi Besi/Kursi Kayu/Kursi Teras/Kursi Murah/KursiBerkualitas,15292,499,970,69999.0,4.429272281275552,1223,72,28,88,150,885,KOTA SURABAYA,shopee
4646854704,4576871,KURSI BASO / KURSI PLASTIK / KURSI ROTAN / KURSI TAMAN MURAH KUAT / KURSI COKLAT HITAM TABITHA NAPOLLY,46427,643,3609,40600.0,4.784567287196248,7068,85,51,173,683,6076,KOTA JAKARTA BARAT,shopee
5585005139,64233223,Kursi Lipat outdoor portable Kursi Camping Bangku Gunung Speeds 032-XL,16142,801,7406,59500.0,4.873612201413032,8924,24,24,111,748,8017,KOTA JAKARTA BARAT,shopee
23415293718,63373354,Furnibest Kursi Cafe Kursi Makan Kursi Resto Kursi Plastik,1672,69,389,145000.0,4.766355140186916,107,2,1,3,8,93,KAB. TANGERANG,shopee
22959044429,452600486,Kursi Baso Plastik Rotan Bangku Baso Bangku Warung Bangku Bubur Kokoh Sampai 120 KG,2262,503,39,20500.0,4.973684210526316,38,0,0,0,1,37,KOTA JAKARTA BARAT,shopee
22384277659,296888840,Pola CY3220 Kursi Lipat Portable Empuk Kursi Belajar Kursi Cafe Minimalis,654,82,142,81500.0,4.964285714285714,28,0,0,0,1,27,KOTA BEKASI,shopee
18817180262,801455267,Ihome Kursi Belajar Kursi Cafe Kursi Kerja Kursi Taman Kursi Bar Kursi Makan Minimalis Bangku Makan Kursi Eames,5854,539,16091,113000.0,4.641383495145631,3299,84,36,126,491,2562,KAB. TANGERANG,shopee
20288195048,969073131,Kursi Cafe Kursi Belajar Kursi Kantor Kursi Makan Minimalis Kursi Kerja Kursi Bar Akrilik,4143,490,10693,113000.0,4.641119221411192,822,24,12,24,115,647,KAB. TANGERANG,shopee
14712950077,12694575,MURAH !!! Kursi Baso Segi Rotan Plastik Kursi Taman Kursi Outdoor KUAT Kursi Bakso Kursi Warkop,17301,583,2473,44400.0,4.777507434441741,3700,40,31,101,368,3160,KOTA JAKARTA BARAT,shopee
17689322737,63373354,Furnibest Kursi Kantor Kursi Hadao Kursi Meeting Jaring,1069,283,1439,179000.0,4.682584269662922,356,4,4,13,59,276,KAB. TANGERANG,shopee
18464759409,206370735,Kursi Lipat Camping  Outdoor Portable Kursi Gunung / Bangku LIPAT/KURSI LIPAT SERBAGUNA,9642,486,708,60800.0,4.76456191874694,2062,14,16,50,277,1705,KAB. TANGERANG,shopee
22157423271,1073096870,Kursi Rias Kursi Estetik Kursi Kamar Kursi Salon Kursi Makeup Kursi Rias Minimalis  Kursi Bar Kursi Kupu-kupu,814,112,520,145000.0,4.9743589743589745,39,0,0,0,1,38,KOTA TANGERANG,shopee
22004407035,598299309,Kursi bakso 25cm 50cm 75cm / bangku kafe / kursi bakso / kursi cafe / kursi teras / bangku bakso / kursi bakso /kursi outdoor,116029,95,1050,76900.0,4.666666666666667,987,23,10,42,123,789,KOTA SURABAYA,shopee
18262929579,12140301,"Kursi Kantor, Kursi Kerja, Kursi Belajar, Kursi Baru",8186,1090,4390,262000.0,4.758862876254181,2990,31,24,87,351,2497,KOTA TANGERANG,shopee
19312178784,28618070,( BISA COD ) PROMO BANGKU PLASTIK SEDANG SEGI MUNDO SQUAT BENCH SHINPO SIP-178 / BANGKU JONGKOK ANAK DEWASA / BANGKU KECIL / TEMPAT DUDUK KECIL / BANGKU SEGI MURAH,99662,194,416,13499.0,4.760141093474426,1134,8,8,33,150,935,KOTA JAKARTA UTARA,shopee
23545729453,933915287,Damaindah Kursi / Kursi Belajar / Kursi Kantor / Kursi Makan / Kursi Meja Rias / Kursi Komputer / Kursi Kamar / Minimalis,3311,364,16387,109000.0,4.770101925254814,883,9,4,24,107,739,KOTA TANGERANG,shopee
23075817273,236553923,[FREE ONGKIR & BISA COD] Kursi Bangku Bakso Baso Plastik Rotan Anyaman Rattan Tabitha Coklat,19835,115,79,23900.0,4.877862595419847,131,1,1,2,5,122,KOTA BEKASI,shopee
21475484176,721291484,Vusign Folding Chair / Kursi Lipat Outdoor Camping Mancing Menampung Kapasitas 70-90kg Tanpa Sandaran VS90XX,533,105,1820,39000.0,4.7727272727272725,638,4,3,20,80,531,KAB. TANGERANG,shopee
