itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
15398671761,20916926,Nano Block Model Karakter Kartun Mainan Balok Edukasi Anak DIY Bricks Mini,103391,29889,25996,7999.0,4.864355514192647,17200,45,51,220,1560,15324,KAB. TANGERANG,shopee
19894520143,183912824,DIY Bricks Mini Building Block Nano Block Model Karakter Kartun Mainan Balok Susun Edukasi Anak,6395,28062,3130,7250.0,4.879559930515344,1731,5,4,18,140,1564,KOTA JAKARTA BARAT,shopee
3474468330,346258963,12 in 1 Clay Polymer Super Light Rainbow / Clay Warna Mainan Lilin Plastisin Clay Anak 12 in 1 Murah! / CIEL BLEU SHOP,16524,18257,15696,5086.0,4.859765339920283,17912,95,62,223,1492,16040,KOTA JAKARTA UTARA,shopee
20504386264,773729295,POSTER ANAK BESAR & TEBAL | POSTER DINDING GAMBAR EDUKASI ANAK | poster edukasi pendidikan anak untuk bayi balita paud tk,311546,14367,5582,2900.0,4.883309526425667,9101,19,19,79,771,8213,KOTA YOGYAKARTA,shopee
18494202341,57956312,(COD)Mainan Balok Susun Disney kuromi Bricks Anak Mainan Edukasi DIY 3D Puzzle Nano Block,11013,13214,5749,7199.0,4.892777777777778,1803,7,3,18,120,1655,KAB. SIDOARJO,shopee
3109634901,184365876,"Poster anak,Poster edukasih,Poster anak, poster edukasi pengenalan huruf berhitung tempelan huruf/poster anak/edukasi/poster dinding",355474,13205,2878,1999.0,4.854602318022935,16321,39,37,238,1635,14372,KOTA TANGERANG,shopee
18584083698,30260886,mainan anak monster zip zap mobil mainan jip off road 4 Drive intertial mini car jeep,8139,12541,1535,7480.0,4.794699646643109,2841,20,18,65,324,2414,KOTA JAKARTA BARAT,shopee
23155757022,791734370,[READY] Aimilo Matras Puzzle PE Karpet Puzzle Anak Playmate Bayi Puzzle Lantai Matras Bayi Karpet Bongkar-Pasang 30x30x1.2cm,47808,12507,2263,4560.0,4.810141509433962,848,10,3,10,92,733,KAB. TANGERANG,shopee
16052044026,290294086,Poster Edukasi Anak - Aesthetic Earth Tone A3+ #mainkayoo,7535,12422,13451,7900.0,4.8989441930618405,3978,7,10,33,278,3650,KOTA DEPOK,shopee
22247502284,773580897,Playmat High Quality Foldable Karpet Lipat Playmat Bayi Karpet Bayi Matras Bayi Foam Lipat Nyaman Untuk Anak Warna Menarik dan Meningkatkan Sensorik Anak Elastis Alas Lantai Karpet Anak Tebal Anti Air,20502,10711,15078,97900.0,4.827278346267427,14563,80,65,241,1518,12659,KAB. KARAWANG,shopee
