itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
22050746920,29633376,Mainan Skibidi Toilet Siren Head Figure Pajangan,517,936,686,75000.0,4.879973474801061,1508,2,2,20,127,1357,KOTA JAKARTA BARAT,shopee
6832433928,145206571,ACTION FIGURE MY LITTLE PONY TOPPER CAKE SET ISI 12 PCS SIZE 3/7 CM PAJANGAN MAINAN HIASAN MINIATUR,890,119,2533,54800.0,4.89261744966443,1490,1,3,20,107,1359,KOTA JAKARTA BARAT,shopee
19078827843,955597619,FUNTOY Mainan Puzzle Tetris Russian/mainan puzzle kayu tangram/ Mainan Tetris Mainan Edukasi Anak (ukuran 18 cm x 28 cm),1447,3431,2762,8599.0,4.912885662431942,1653,1,1,9,119,1523,KAB. TANGERANG,shopee
20276503810,219416989,BEVAVAR Mainan air DIY mainan Magical Waterscape jelly  Mainan edukasi anak,914,1110,10911,79900.0,4.769551282051282,3120,23,21,85,394,2597,KAB. BEKASI,shopee
19543647753,228489806,MAINAN CROCODILE DENTIST MAINAN BUAYA GIGIT MAINAN KELUARGa,170,143,729,17000.0,4.712824010914052,1466,24,16,44,189,1193,KAB. BOGOR,shopee
23751861388,276307404,Mainan Anak Tebak Gambar Board Game  Who is it - Mainan Tebakan Gambar 1556 RM,50318,329,364,25900.0,4.787003610108303,277,1,0,10,35,231,KOTA JAKARTA UTARA,shopee
23045536331,628177205,JCHO Mainan Gembot Air Ring Water Game Mainan Jadul Anak Watergame,96,961,378,8350.0,4.839541547277937,349,0,3,3,41,302,KAB. BEKASI,shopee
21682982076,1045194678,ZCTOY Mainan Anak Bebek Kuning Kecil Small  Train Track Slide Educational Mainan Dengan Lampu Dan Musik,1375,273,352,67000.0,4.743697478991597,476,3,4,14,70,385,KAB. TANGERANG,shopee
7456090222,43704624,Mainan Anak Ice Breaking Dus PINGUIN - Fun Toys,7612,353,8240,19990.0,4.807781201848998,5192,26,25,128,563,4450,KOTA JAKARTA UTARA,shopee
16245475556,43704624,Mainan Anak Tangga Small Duck Bebek Kuning / Seluncur Tangga Bebek,54416,1424,7905,39990.0,4.771471955964696,10538,112,71,241,1268,8846,KOTA JAKARTA UTARA,shopee
22872239630,955597619,FUNTOY Bahasa  Inggris Flash Card Early Education mainan Bantu Pengenalan Kosa Kata Bahasa Mainan Edukasi,401,273,1245,60000.0,4.901639344262295,488,0,1,3,39,445,KAB. TANGERANG,shopee
3474468330,346258963,12 in 1 Clay Polymer Super Light Rainbow / Clay Warna Mainan Lilin Plastisin Clay Anak 12 in 1 Murah! / CIEL BLEU SHOP,16389,18257,15705,5086.0,4.859707185729511,17926,96,62,222,1493,16053,KOTA JAKARTA UTARA,shopee
19122132185,3585208,[200gr] T645 | [SENTER] Mainan Anak Senter Proyektor 3 Piringan / Fun Flashlight / Mainan Proyektor Gambar / Mainan Edukasi,3778,482,1832,8000.0,4.6787109375,4096,54,34,162,674,3172,KOTA SURAKARTA (SOLO),shopee
5448764437,43704624,Mainan Anak Jumping Pirates 5858 - Funny games - Pirates Barrel,4554,897,24117,11400.0,4.7007783590659695,15679,193,169,626,2174,12517,KOTA JAKARTA UTARA,shopee
21484136252,712441799,Mainan anak pop it elektrik Terbaru/Ss1551,10,283,182,35999.0,4.780141843971631,423,4,0,11,55,353,KAB. MALANG,shopee
