itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
18348089678,546934752,Sakula.Id Meja belaja/Meja Komputer/meja kantor/meja pc/rumah meja tulis sederhana/Meja Kerja dengan Rak Serbaguna 100*42*110(H table),689,267,1288,179500.0,4.408759124087592,548,26,19,35,93,375,KAB. TANGERANG,shopee
14613670887,277711630,Homedoki Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor / Meja Rias Panjang / Meja Kamar Tidur Sederhana,6071,315,17983,124000.0,4.751126690035052,1997,18,15,50,280,1634,KOTA TANGERANG,shopee
7474575952,141531405,meja ruang tamu multifungsi meja kopi santai meja belajar meja anak,5455,199,48679,85360.0,4.813798409848679,3900,7,18,91,465,3319,KAB. GUNUNG KIDUL,shopee
22978362542,1009180964,HOMETIME Meja Belajar Meja Rias Minimalis Meja Kantor Meja Komputer Meja Panjang Putih 120CM,4775,106,1162,120500.0,4.721698113207547,212,6,3,7,12,184,KAB. TANGERANG,shopee
12576910268,546934752,Sakula meja kerja meja belajar meja kantor meja komputer meja rias meja panjang mejakamar tidur anak(A150 100cm✖45cm),210,19,549,119500.0,4.623287671232877,146,3,2,7,23,111,KAB. TANGERANG,shopee
22461388723,853274732,Meja Kerja Minimalis 140CM Meja Belajar Meja Rias Minimalis Meja kantor Meja Komputer Serbaguna Meja Panjang Putih,751,166,921,195000.0,4.923076923076923,39,0,0,1,1,37,KAB. TANGERANG,shopee
18448084454,546934752,Sakula.Id meja kerja meja belajar meja kantor meja komputer meja rias meja panjang mejakamar tidur anak(A122A 120cm×60cm),240,2,309,179500.0,4.387755102040816,98,4,1,12,17,64,KAB. TANGERANG,shopee
18260009327,121729888,Meja Kerja Meja Konsul Minimalis Kuat dan Murah Hemat Dikantong,408,570,8673,88000.0,4.616336633663367,2424,39,27,140,413,1805,KOTA TASIKMALAYA,shopee
22783917602,883183102,Meja Lipat Panjang Meja Portable Meja Makan Meja Belajar Meja Komputer Laptop Serbaguna Meja Taman Meja Lipat Outdoor,34,419,920,398000.0,4.812227074235808,229,3,3,5,12,206,KOTA TANGERANG,shopee
17202536665,546934752,Sakula Meja kantor Meja komputer meja kerja meja belajar Meja Meja rias persegi panjang Meja kamar tidur sederhana Dengan partisi(A150 120cm✖45cm),15178,4,188,140500.0,4.735294117647059,34,0,0,3,3,28,KAB. TANGERANG,shopee
17570951060,546934752,Sakula Meja Komputer Meja PC Kayu Meja Belajar Meja Kerja Meja Rumah Meja Kerja Meja PC(A108),149,45,3928,119500.0,4.744791666666667,384,7,5,12,31,329,KAB. TANGERANG,shopee
19377535663,277711630,Homedoki Meja Kantor / Meja Komputer / Meja Kerja Minimalis / 120cm Meja Belajar / Meja Kantor Dengan Laci,4265,110,8277,120000.0,4.719457013574661,442,8,6,16,42,370,KOTA TANGERANG,shopee
21748076265,546934752,Sakula.Id Meja kantor Meja komputer meja kerja meja belajar Meja Meja rias persegi panjang Meja kamar tidur sederhana Dengan partisi hitam berkualitas tinggi(A122A 120cm×60cm),240,87,1078,179500.0,4.449064449064449,481,17,14,36,83,331,KAB. TANGERANG,shopee
17670358439,773530003,Homedoki Meja Makan / Meja Gaming / Meja Komputer / Meja / meja gamer / Meja Rias Panjang / Meja Kantor / Meja Kamar Tidur Sederhana,1525,134,1255,229000.0,4.777777777777778,261,0,3,10,29,219,KOTA MEDAN,shopee
20988993602,961245374,SAKULA Meja Belajar 120cm Meja kantor Meja komputer Meja Kamar Tidur Sederhana Dengan Rak Buku Table Computer Table Meja rias Meja Kerja,9913,124,1624,128000.0,4.622905027932961,358,11,2,21,43,281,KAB. TANGERANG,shopee
15597207090,853274732,140CM Meja Makan Minimalis Meja Belajar Meja Kantor Besi Meja Kerja Meja komputer Meja Table,930,21,1074,199000.0,4.517045454545454,176,7,2,13,25,129,KAB. TANGERANG,shopee
23031569399,271179414,CANA MEJA KERJA MEJA SAMPING MEJA KERJA MEJA TV MEJA KURSI MEJA MOTIF MEJA WARNA WARNI MEJA LUCU MEJA AESTHETIC MEJA KOPI MEJA CAFE MEJA LEBARAN MEJA NATAL VALENTINE MEJA KAYU BELAJAR LIPAT MEJA PORTABLE LAPTOP WARNA POLOS MINIMALIS MULTIFUNGSI KUAT MURAH,43,11,14,49999.0,5.0,9,0,0,0,0,9,KOTA SURABAYA,shopee
21580109186,67933235,TERBARU! Meja 30x80 30x60 40x80 Lesehan / Meja Kopi Table coffe Meja Belajar Putih,2990,2,19,79000.0,5.0,2,0,0,0,0,2,KAB. SIDOARJO,shopee
20665619033,706429603,Meja Belajar Alba I  Meja Kerja I Meja Belajar Anak I  Meja Tulis kayu I Meja Kios I Meja Kasir I Laptop Rak Kayu Minimalis Estetik,42,113,6435,248325.0,4.884020618556701,776,1,0,5,76,694,KAB. SIDOARJO,shopee
5189066857,296888840,Pola Meja Belajar Meja Tulis Meja Kios Meja Kerja Multifungsi Minimalis,17887,80,32445,221000.0,4.605288932419197,2046,26,22,132,372,1494,KOTA BEKASI,shopee
20284444057,1062949335,Brookwood Meja Laptop Portable Stand Minimalis Serbaguna Meja Lipat Roda Adjustable height Standing Desk,10,190,301,107500.0,4.793814432989691,97,2,0,3,6,86,KAB. GRESIK,shopee
3158310123,6158201,MEJA BELAJAR KADO KAYU KOTAK KOPER KARAKTER SNI,386,863,4196,12000.0,4.591288958804444,10224,153,182,651,1703,7535,KAB. SIDOARJO,shopee
23359887885,946688943,Meja Laptop Portable Meja Rak Laptop Meja Kerja dengan Roda Meja Belajar Adjustable Meja Kecil,2554,360,1335,135000.0,4.735159817351598,219,0,5,11,21,182,KAB. TANGERANG,shopee
14899790655,801455267,IH Meja Kantor Murah  Meja Belajar Anak Meja Laptop 60*28,1474,205,505,65000.0,4.65625,64,2,0,3,8,51,KAB. TANGERANG,shopee
22915408955,887247881,MEJA BULAT SUDUT MINIMALIS RUANG TAMU PUTIH AESTHETIC TERBARU TERMURAH,6705,474,9071,35630.0,4.699421965317919,2595,30,27,86,407,2045,KAB. JEPARA,shopee
23558912941,254959171,Meja Belajar Lipat / Meja lipat Portable / Meja laptop Serbaguna Bermacam Motif Kayu,14235,940,1855,38000.0,4.78740157480315,508,1,6,14,58,429,KAB. BANTUL,shopee
18693720400,957141418,e-tife Meja kantor / Meja belajar rak buku serbaguna kerja kantor Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,35,210,476,205000.0,4.801801801801802,111,1,1,2,11,96,KOTA SURABAYA,shopee
16585067067,155914491,MEJA LAPTOP/MEJA LAPTOP PORTABLE/MEJA BELAJAR,230,86,62,55000.0,4.771604938271605,162,3,1,3,16,139,KOTA PONTIANAK,shopee
11532256993,296683203,MEJA BULAT MINIMALIS/ MEJA BUNDAR SUDUT RUANG TAMU MURAH TERBARU,506,123,10273,69900.0,4.745082915541843,2594,14,17,90,377,2096,KAB. BANTUL,shopee
4378199154,288305187,Stand Meja Laptop Lipat Foldable Notebook Desk Table - Z22,13,23,385,68400.0,4.866788321167883,548,0,2,8,51,487,KAB. SLEMAN,shopee
