itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
23128315033,186799727,"{TERMURAH} LIKE AKTIF PERMANENT TERLARIS PC GAMING FULLSET CORE I MEMORI GB VGA GB GT GTX   MONITOR ""CURVED",96780,11,3,500.0,5.0,52,0,0,0,0,52,KAB. BOGOR,shopee
8504570532,262080492,Weyon Sakura LED Monitor 22 inch layar komputer Gaming Monitor tv led digital 22 inch Televisi FULL HD ORIGINAL GARANSI 1 TAHUN,1592,4,3956,699000.0,4.576449912126538,569,23,5,22,90,429,KOTA JAKARTA BARAT,shopee
7354255957,53944599,Pc Gaming Core i7 - Ram 16Gb - Monitor 19inc,52,11,4827,1675000.0,4.871369294605809,241,3,1,3,10,224,KOTA BANDUNG,shopee
3004402637,380571261,PC GAMING CORE I7 RAM 16 GB SSD 120 GB MONITOR 22 INCH SIAP PAKAI FULLSET,1020,20,3728,1580000.0,4.785858585858586,495,8,3,10,45,429,KOTA BANDUNG,shopee
5055861848,79903480,PC Gaming Editing core i7 Ram 16 gb Ssd 240 gb monitor 24 in full set,490,26,8532,1750000.0,4.845916795069337,649,7,3,6,51,582,KOTA BANDUNG,shopee
13438996133,117388639,"PC GAMING EDITING AMD A6 RAM 8 GB HDD 500 GB MONITOR 19"" BONUS USB WIFI",639,2,7851,1200000.0,4.753401360544218,588,10,5,16,58,499,KOTA BANDUNG,shopee
7996451797,269930514,PC RAKITAN GAMING INTEL CORE i7 SSD 120GB HDD 500GB RAM 8GB VGA 4GB MONITOR LED 24 INCH | TH02,2271,51,13800,1825001.0,4.776923076923077,260,3,4,5,24,224,KOTA BANDUNG,shopee
7332225773,162038834,PC GAMING EDITING RAM 8 SSD 256 HDD 500 MONITOR 22 INC,1722,3,2324,575000.0,4.700483091787439,207,3,2,5,34,163,KOTA BANDUNG,shopee
6559390562,86830991,PC Gaming Fullset AMD Ryzen 5 + Ram 32GB DDR4 + SSD 512GB + Monitor LED 27inc,70136,3,1157,3800000.0,4.702702702702703,37,0,2,1,3,31,KOTA BANDUNG,shopee
8753275804,380571261,Pc Gaming Editing I5 SSD 120 Gb Fullset Monitor 19 Inch Siap Pakai Editing Gaming,1255,5,4652,785000.0,4.837587006960557,434,4,2,4,40,384,KOTA BANDUNG,shopee
6049595709,262080492,Weyon Sakura TV LED 21 inch tv digital Monitor 21 inch layar komputer Gaming Monitor FULL HD ORIGINAL GARANSI 1 TAHUN,983,2,1773,679000.0,4.645933014354067,209,6,0,9,32,162,KOTA JAKARTA BARAT,shopee
9511795660,31185078,Pc Gaming Editing Core i5 Ram 8 gb Vga 2 gb Hdd 500 gb Monitor 19 Fullset,213,1,584,1445000.0,4.925619834710743,121,1,0,0,5,115,KOTA BANDUNG,shopee
3648814632,79903480,PC gaming editing  Core i7 ram 16gb vga 2gb  monitor 22 in/ key mouse,276,4,4733,1630000.0,4.867052023121388,519,6,3,3,30,477,KOTA BANDUNG,shopee
8363162576,269930514,PC Gaming Full Set Core i5 RAM 8GB SSD 128GB VGA 2GB Monitor LED 19 Lengkap Siap Pakai | HL02,2400,1,1056,1935001.0,4.763888888888889,72,2,0,2,5,63,KOTA BANDUNG,shopee
7613181053,13670583,PC Gaming Editing core i7 Ram 16 gb Ssd 240 gb VGA 2GB DDR3 monitor 24 in fullset,1684,26,4007,1875000.0,4.915384615384616,390,1,0,4,21,364,KOTA BANDUNG,shopee
13052085650,45492512,PC GAMING CORE I5 3330 RAM 8GB HDD 500 GB MONITOR 19 INCH,31,4,419,865000.0,4.5396825396825395,63,6,0,0,5,52,KOTA CIMAHI,shopee
2035079546,79903480,Satu Paket PC gaming Core i7  |Ram 16gb | Ssd 120 gb | Hardisk 1Tera| Monitor 22in |Siap pakai,288,5,2203,2130000.0,4.84065934065934,182,1,1,2,18,160,KOTA BANDUNG,shopee
6251724608,177317210,PC Gaming Core i7 Ram 16gb Ssd 240 gb  Vga 2 gb Monitor 22 keyboad mouse,1761,45,6617,1550000.0,4.780254777070064,319,9,0,2,29,279,KOTA BANDUNG,shopee
13655591571,45492512,PC GAMING CORE I5 4590/ VGA 4GB GT730 / RAM 8GB / HDD 500 GB / MONITOR 19 INCH FULLSET,75,4,69,1157000.0,4.833333333333333,6,0,0,0,1,5,KOTA CIMAHI,shopee
4118881885,13670583,PC Gaming Editing Lengkap Intel Core I5 Ram 8gb SSD 128GB HDD 500gb VGA 2GB Monitor 19 inci,1191,1,924,1780000.0,4.95,80,0,0,0,4,76,KOTA BANDUNG,shopee
7056647559,159309353,Mi Gaming Monitor Curved 34 Inch 144Hz WQHD,43,1,1237,2950000.0,4.910714285714286,168,2,0,0,7,159,KOTA JAKARTA PUSAT,shopee
10727415214,289325792,Pc Gaming Fulset Ryzen 5-5600G|Ram 32gb|ssd|255gb|hdd 1tb|Monitor Led 22inci FulHd,2224,1,81,1002000.0,4.931034482758621,29,0,0,0,2,27,KOTA BANDUNG,shopee
2366518879,93808,PC GAMING EDITING INTEL CORE I7 FULLSET / RAM 16GB / VGA / SSD 256GB / HDD 500GB / MONITOR LED / PAKET FULLSET JUARA !!!,312,1,523,2132000.0,4.730769230769231,26,1,0,1,1,23,KOTA BANDUNG,shopee
19156971719,463102068,PC GAMING PC DESAIN FULLSET PLUS MONITOR RAM 4GB HDD 250GB 160GB,20,3,409,475000.0,4.604651162790698,43,1,0,3,7,32,KOTA JAKARTA SELATAN,shopee
22675282114,117388639,PC Gaming Core i7 Ram 16gb Vga 2 gb ssd 256gb monitor 22 inch,693,4,26,1710000.0,5.0,5,0,0,0,0,5,KOTA BANDUNG,shopee
6239658101,79333043,PC Gaming Full Set AMD Ryzen 5 5600G Ram 16GB SSD/HDD Monitor 24 Inch Gaming Editing LANCAR,781,21,1389,3898000.0,4.758620689655173,145,3,1,5,10,126,KOTA BANDUNG,shopee
5480719149,45492512,PC GAMING CORE I5 2400 / VGA 4GB GT730 / RAM 8GB / HDD 500 GB / MONITOR 19 INCH FULLSET,79,5,161,965000.0,4.6,10,1,0,0,0,9,KOTA CIMAHI,shopee
7755424658,79903480,PC gaming core i7 Ram 16 gb SSD 256 GB monitor 24/19 in key mouse full set,1325,42,2009,1480000.0,4.910493827160494,324,1,0,3,19,301,KOTA BANDUNG,shopee
6053307128,79903480,PC Gaming editing Core i7 Ram 16gb Ssd 512gb Vga 4 gb + Monitor 27 INCH Full set siap pakai,569,1,492,2290000.0,4.813953488372093,43,1,0,0,4,38,KOTA BANDUNG,shopee
7638691732,79333043,1 Set PC Gaming Fullset AMD A8 7600 | Ram 16GB | SSD - HDD | Monitor LED 19 - 24 inch / komputer gaming fullset amd a8 7600,696,1,3512,480000.0,4.698924731182796,186,3,4,6,20,153,KOTA BANDUNG,shopee
5947173270,79903480,PC Gaming editing core i7 Ram 16 gb Ssd 512gb Hdd 500 gb   Monitor 22in set siap pakai,1242,10,652,1540000.0,4.714285714285714,49,1,1,1,5,41,KOTA BANDUNG,shopee
7065677319,177310287,PC GAMING RAKITAN INTEL CORE i7 RAM 16 GB MONITOR 22 INC FULLSET SIAP PAKAI,686,1,1471,1650000.0,4.861111111111111,36,0,0,0,5,31,KOTA BANDUNG,shopee
10796684877,140965813,PROMO !! PC GAMING INTEL CORE I5 VGA NVIDIA 8GB RAM FULLSET SIAP PAKAI MONITOR KEYBOARD MOUSE EDITING RENDERING TERMURAH,36,3,615,1960000.0,4.931506849315069,73,0,0,1,3,69,KOTA SURABAYA,shopee
11017058970,482320705,"MIIGO- Monitor, Monitor Game Profesional, Monitor 24 Inci, Tampilan Lengkung, Panel IPS, (144HZ/165HZ) Kecepatan Refresh Tinggi, Tampilan HD",345,69,11220,989000.0,4.706190975865687,953,27,7,24,103,792,KAB. TANGERANG,shopee
9902035498,79903480,PC gaming i7 Ram 16 gb ssd 240 gb monitor 24 Curved Samsung  siap pakai,429,2,799,1790000.0,4.883561643835616,146,2,1,3,0,140,KOTA BANDUNG,shopee
21177292400,127993321,LENGKAP MONITOR PC GAMING AMD RYZEN 5 5600G ii RAM DDR4 16 GB II RADEON VEGA II ANDIM,115,2,2,5047000.0,4.857142857142857,7,0,0,0,1,6,KOTA BANDUNG,shopee
7168137724,177317210,PC Gaming Live Streaming i7 Ram 16 gb VS Vga GT 730 4 gb Monitor 22 in FULL SETT new,581,4,303,1865000.0,4.863636363636363,22,0,0,1,1,20,KOTA BANDUNG,shopee
7267208231,280896329,PC Gaming Fullset Core i7 2600 RAM 8GB HDD 500GB GTX 750 TI Monitor 24 Inch,1200,1,320,705000.0,4.92,50,0,0,1,2,47,KOTA BANDUNG,shopee
21103749970,161191955,PC Gaming Fullset i7 Ram 16 GB Ssd 256 GB Vga 4 GB GTX 750 Ti Monitor 24 in,2916,1,57,2033500.0,4.785714285714286,14,0,1,0,0,13,KAB. WONOSOBO,shopee
23762068500,474760091,PC Gaming Editing Intel Core I7 Ram 16GB SSD 128GB VGA 4GB Monitor Samsung 27 Inch Keyboard Mouse GAMING,99,1,2,3995000.0,5.0,1,0,0,0,0,1,KOTA BANDUNG,shopee
13216481768,186258378,PC GAMING DESAIN GRAFIS CORE I7 MONITOR 19 INC KEYBOARD MOUSE BONUS WIFI SIAP PAKAI,206,1,111,1790000.0,5.0,37,0,0,0,0,37,KOTA BANDUNG,shopee
14197879574,177317210,PC GAMING CORE I7 +VGA GTX750 RAM 16 GB SSD 512GB  MONITOR LED 22 INC FULSET,467,3,27,2615000.0,4.571428571428571,7,0,0,1,1,5,KOTA BANDUNG,shopee
3461088363,67842944,PC Gaming Editing i7 Ram 16 gb Ssd 256 gb hdd 500 gb  monitor 24 inc siap pakai full set,405,1,199,1780000.0,4.894736842105263,19,0,0,0,2,17,KOTA BANDUNG,shopee
25750490418,1045493750,PC Gaming Fullset Ryzen 7 + Ram 32GB + Vga GTX 1650 4GB DDR6 + HDD 1TB + SSD + Monitor LED 24 inc,30,9,29,6407000.0,5.0,5,0,0,0,0,5,KOTA BANDUNG,shopee
