itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
22751371383,330314777,JM - [BPOM] Parfum Inspired Le Labo 35ml / Parfum Le Labo Nagita Slavina 35ml / Parfum Pria Dan Wanita Tahan Lama,998836,71727,9376,6288.0,4.6568867554858935,20433,223,274,1004,3285,15647,KOTA TANGERANG,shopee
18344394976,854391331,Octarine - Parfum Wanita Tahan Lama Aroma Lembut Elegan Inspired By SCANDALOUS | Parfume Perfume Farfum Minyak Wangi Cewek Cowok Murah Original,38940,18618,34214,52200.0,4.900002685933765,37234,55,63,314,2686,34116,KOTA BOGOR,shopee
12350115066,313454413,parfum murah refill wanita wangi pria tahan lama isi -+ 35ml,394419,10971,16529,13464.0,4.806437749795866,46689,236,242,1168,5021,40022,KOTA JAKARTA TIMUR,shopee
20065403485,160197424,Parfum Mr crush original Parfum Pemikat wanita Parfum pria tahan lama Parfum staycation Parfum Viral,106055,10621,4978,10900.0,4.454413983903421,31829,998,815,2416,6087,21513,KAB. MOJOKERTO,shopee
22017260398,927048623,KEHED Parfum Wanita Pria Unisex SCANDALOUS Tahan Lama Parfume Farfum Minyak Wangi Wanita Pria Unisex Tahan lama Wangi Parfume Original 35ml Inspired,366812,7907,18044,35000.0,4.7069356571564995,8377,97,93,299,1190,6698,KOTA JAKARTA SELATAN,shopee
22167172982,240254456,Parfum Trending No. 1 | Intisari Parfum Pria Wanita Parfum Unisex EDP 25ml - Aroma Lebih Tahan Lama,4309,7686,10889,14235.0,4.827216590935571,8586,55,56,170,755,7550,KAB. BANDUNG,shopee
22118751285,313454413,Parfum Refill Murah Wanita Pria Wangi Tahan Lama uk 35ML ADG,460940,7114,2223,13473.0,4.712587125871258,9760,110,110,323,1389,7828,KOTA JAKARTA TIMUR,shopee
21461589624,281826018,parfum lelabo tahan lama 35ml/parfum wanita/parfum pria/parfum lelabo terlaris,520803,6512,14587,9000.0,4.674755581032451,31505,317,390,1432,4945,24421,KAB. BOGOR,shopee
19476516748,887372924,Parfum Tahan Lama 24 Jam Perempuan BEST SELLER Wanita - Parfum Jolibliss Carme Aroma Manis Segar Tahan Lama,975079,4762,58029,18700.0,4.78963110667996,14042,75,63,351,1763,11790,KAB. BANDUNG,shopee
23169893200,159324654,Minyak Wangi Non Alkohol Minyak Harum Murah Isi 7 Ml Roll Tahan Lama Inspired Unisex Untuk Cewek Cowok Farfum Pria Wanita Parfum Pria Wanita Minyak Wangi Murni Bibit Botol 7 Ml Minyak Harum Awet Seharian Minyak Harum Murah,69217,4690,195,3999.0,4.828437132784959,1722,8,6,25,192,1491,KAB. BANJAR,shopee
10098190391,258640800,[BPOM] Parfum Le Labo 35ml Premium / Parfum Pria Wanita Best Seller / Parfum Lelabo Unisex Tahan Lama,22381,4367,3120,6288.0,4.565266903914591,7027,172,143,425,1087,5200,KOTA TANGERANG,shopee
21781148245,63310523,Parfum Lelabo 35ml Wangi Tahan Lama Premium / Parfum Wanita/Parfum Pria/Parfum Lelabo Terlaris,120956,4361,1572,8550.0,4.467692974848222,4614,143,126,352,805,3188,KAB. BEKASI,shopee
17643245780,310366631,BELI 1 DAPAT 4 PROMO PARFUM WANITA PAKET HEMAT PARFUM PRIA WANGI TAHAN LAMA 30 ML,4215,3823,2198,42702.0,4.427517032551098,10568,340,290,847,2126,6965,KAB. MOJOKERTO,shopee
12750807485,235161229,Bisa COD Bayar Di Tempat | MURNI BIBIT 30ml parfum refil parfum isi ulang parfum murah minyak wangi parfum tahan lama parfum laki laki parfum minyak wangi minyak wangi isi ulang parfum wangi farfum murah perfume parfum wanita,36948,3626,5527,38000.0,4.789644012944984,10815,88,61,254,1232,9180,KOTA BEKASI,shopee
22442201287,727723484,Parfum Lelabo 35ml Tahan Lama Pria Wanita,193344,3464,1070,8500.0,4.457364341085271,3487,130,87,264,586,2420,KAB. BANDUNG,shopee
