itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
19382337259,791734370,[READY] Aimilo Pensil Set Anak 5in1 Set Alat Tulis Pensil Lucu Dan Penghapus Untuk Tempat Pensil Buku Tulis Sekolah,79712,59594,7054,2095.0,4.842589187201177,5439,18,13,87,571,4750,KAB. TANGERANG,shopee
21050971362,278590404,Buku / Notebook Mini Ring A7 Motif,95739,24893,10543,2500.0,4.866985557906356,10925,29,37,137,945,9777,KOTA JAKARTA BARAT,shopee
23049723909,791734370,[READY] Aimilo Notebook Mini A7 Buku Kecil Catatan Scrapbook Mini Buku Notes Kecil Alat Tulis Sekolah 80 Lembar,50796,22661,6373,2690.0,4.805301204819277,8304,41,50,160,982,7071,KAB. TANGERANG,shopee
21979551042,111921366,KP114 - BUKU TULIS MINI MOTIF KARTUN NOTEBOOK MINI CARTOON MINI BOOK NOTEPAD KARAKTER BUKU TULIS MEMO KECIL MURAH IMPORT,71993,17925,480,669.0,4.699465240641711,935,13,17,28,122,755,KOTA JAKARTA BARAT,shopee
22675419080,791734370,[READY] Aimilo Notebook A5 Buku Diary Aesthetic Buku Jurnal Buku Catatan Buku Note Stiker Buku Tulis Aesthetic Sekolah Stationary,100262,17708,9271,5999.0,4.81296904315197,8540,42,46,169,952,7331,KAB. TANGERANG,shopee
18692443270,388611966,Notebook Mini A7 Buku Kecil Catatan Scrapbook Mini Buku Notes Kecil Alat Tulis Sekolah 80 Lembar,29411,12775,2377,2690.0,4.781576448243115,4215,15,29,105,563,3503,KOTA SEMARANG,shopee
21758981388,889248565,Sticky Notes Motif Binatang Tempelan Kertas Catatan Memo Note Karakter Animal Lucu Unik stockami A3,23252,12586,113,588.0,4.6571428571428575,140,2,4,4,20,110,KAB. TANGERANG,shopee
15905680701,26177891,HC Sticky Notes Motif Hewan Tempelan Kertas Catatan Memo Note Karakter Animal Mini Book Karakter Binatang Lucu,179139,10823,1392,603.0,4.794699514744307,8037,61,51,226,801,6898,KAB. TANGERANG,shopee
13462063994,453953370,YSM Sticky Notes Motif HewanTempelan Kertas Catatan Memo Note Karakter Animal Mini Book Karakter Binatang Lucu,175939,10923,2264,603.0,4.84757778653013,2539,12,9,45,222,2251,KAB. TANGERANG,shopee
18368201635,666409724,A7 cute mini coil notebook high-value 2023 girly notepad portable portable small diary,48323,10333,12757,2680.0,4.7743675818247215,8341,38,64,228,1082,6929,KOTA JAKARTA UTARA,shopee
