itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
6446025076,40794898,Ecobrick Ecobrik Ekobrik Botol Plastik Bata Ramah Lingkungan 600 ML  ECOBRIK BATA BOTOL AQUA MINERALE VIT PRIMA CUSTOM,1294,539,635,5500.0,4.818666666666667,1126,5,3,28,122,968,KAB. BOGOR,shopee
19411073292,793154189,GALON LE MINERALE 15 LITER / AIR GALON / LE MINERAL,39,338,58,19000.0,4.989690721649485,293,0,0,0,3,290,KOTA BANDUNG,shopee
15362654916,17021306,Le minerale / leminerale air mineral 330ml 1 karton (24 botol),12306,319,72,36000.0,4.982658959537572,173,0,0,0,3,170,KOTA JAKARTA UTARA,shopee
12954272440,251651000,Le Minerale Air Mineral 15 Liter Galon,60,294,144,20000.0,4.945478723404255,768,1,0,3,31,733,KOTA SURABAYA,shopee
23134656147,2004656,Le Minerale Air Mineral Galon + isi 15 Liter / Galon Sekali Pakai [BANDUNG GRAB GOJEK ONLY],29,276,26,19500.0,4.996197718631179,264,0,0,0,1,263,KOTA BANDUNG,shopee
6790086191,40766661,Le minerale 600ml - air le minerale kemasan 600ml - le minerale botol 600ml,97508,243,151,45000.0,4.979480164158686,750,0,0,1,13,736,KOTA BANDUNG,shopee
22579160603,25474274,Galon Le Minerale 15L,9990,223,36,20000.0,4.993421052631579,164,0,0,0,1,163,KOTA JAKARTA UTARA,shopee
7753278073,23656491,LE MINERALE GALON 15L,825,236,200,18500.0,4.977678571428571,448,0,0,0,10,438,KOTA JAKARTA TIMUR,shopee
23408297128,43899567,Le Minerale GALON 15 Liter (khusus pengiriman instant),200,209,50,33999.0,4.9734375,643,0,0,1,15,627,KOTA MAKASSAR,shopee
6973013215,226351043,le minerale galon isi bersih 15 liter / galon super O2 15 Liter,119,199,129,22000.0,4.980722891566265,1246,0,2,2,17,1225,KOTA BANDUNG,shopee
7479572743,40766661,Le Minerale Galon Bandung/galon le minerale/air le minerale/leminerale galon,9781,196,162,18500.0,4.98489932885906,596,0,0,0,9,587,KOTA BANDUNG,shopee
23454930904,365351253,Le Minerale Galon 15 Liter,6,204,61,20000.0,4.962655601659751,246,0,0,2,5,239,KOTA JAKARTA BARAT,shopee
22654452049,68812004,le minerale 15 liter,8,195,37,18000.0,5.0,81,0,0,0,0,81,KOTA TANGERANG SELATAN,shopee
3575460104,23656491,Le Minerale 330 ML - Air Mineral 1 Dus,990,197,193,38300.0,4.983739837398374,379,0,0,0,6,373,KOTA JAKARTA TIMUR,shopee
16571573643,10385116,AQUA BOTOL AIR MINERALE 1500 ML / 1.5 LITER ISI 12 BOTOL PER DUS,354,183,129,53000.0,4.980392156862745,306,0,0,0,6,300,KOTA JAKARTA BARAT,shopee
