itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
19221163256,810944398,Sedotan Steril 6mm x 20cm Hitam / Sedotan Kopi Hitam Runcing / Sedotan Lancip Isi 250 Pcs,8816392,28980,2269,8699.0,4.884275312066574,11684,17,27,104,985,10551,KOTA JAKARTA BARAT,shopee
3724185797,20133871,Sedotan Plastik 6mm 20cm Steril Hitam 250btng Bungkus Hegenies Kopi Lurus Lancip Runcing 6 mm 20 cm,3108819,23358,1293,8900.0,4.835762623633524,11607,117,43,146,1014,10287,KOTA JAKARTA BARAT,shopee
2750327468,100269356,[GK] Sikat Pembersih Dot Bayi Brush Sedotan Stainless Steel Straw Panjang Anti Karet Food Grade,490811,16682,741,490.0,4.799677419354839,3100,44,18,58,275,2705,KOTA JAKARTA BARAT,shopee
22579494052,9291917,KUKE Sedotan Stainless Lurus 21.5CM Sedotan Minum Bengkok/Sikat Sedotan Brush Straw Cleaner Stainless/Sedotan Bengkok Dan Lurus Stainless Steel,129924,16666,405,768.0,4.646900269541779,1484,40,21,51,199,1173,KAB. TANGERANG,shopee
7674241349,9384314,Sedotan Kertas PAPER STRAW STERIL Higienis LAPIS KERTAS PEMBUNGKUS BUNGKUS KERTAS PAPER STRAW,86673,9614,424,289.0,4.876190476190477,210,3,0,2,10,195,KOTA TANGERANG SELATAN,shopee
6669466803,351901200,Sedotan Runcing kopi 6 MM x 20CM  (runcing isi 300pcs),1074941,7664,4568,10999.0,4.8774373259052926,15652,53,36,181,1223,14159,KOTA JAKARTA BARAT,shopee
2750327477,100269356,[GK] Sedotan Stainless Steel Qualitas Straw Ramah Lingkungan Straight LURUS,105492,7036,770,738.0,4.8002853067047075,1402,12,7,42,127,1214,KOTA JAKARTA BARAT,shopee
20525233415,53818286,SOUVENIR SEDOTAN STENLIS [MIN ORDER 25pcs] FREE GITF CARD BISA REQUES NAMA KEMASAN PELASTIK SATUAN SOVENIR PERNIKAHAN AKIKAH KHITAN ULANG TAHUN 1KG MUAT 100PCS,23001,6736,909,1550.0,4.917582417582418,185,0,2,0,9,174,KOTA JAKARTA BARAT,shopee
2750327481,100269356,[GK] Sedotan Stainless Steel Straw Ramah Lingkungan Lengkung Melengkung,138587,7476,5089,738.0,4.790511398644486,3248,38,23,62,335,2790,KOTA JAKARTA BARAT,shopee
20829657590,826354653,ANK SEDOTAN STAINLESS 21.5CM / SEDOTAN MINUMAN LURUS/BENGKOK/SIKAT PEMBERSIH,17933,6034,255,799.0,4.679298245614035,1425,41,14,37,177,1156,KAB. TANGERANG,shopee
16190796979,52152052,"Sedotan UHT, teh kotak, Kelapa Ala Coco Thumb Thailand",4074,5256,43,290.0,4.945945945945946,74,0,0,0,4,70,KOTA DEPOK,shopee
11344858552,523821158,SEDOTAN  RUNCING KOPi  STERIL 6 MM × 20 CM 1 PACK 300 PC/SEDOTAN PLASTIK LANCIP,91374,4196,4713,10999.0,4.913529012299102,13422,30,26,91,775,12500,KOTA JAKARTA BARAT,shopee
12628187879,2094145,Sedotan Aqua Gelas,939962,3556,149,500.0,4.877846790890269,483,0,0,9,41,433,KOTA SURABAYA,shopee
11086478044,681697108,Sedotan Hitam Lancip 6mm STERIL Golden Straw OXO isi 500pcs / Sedotan Steril OXO Warna Warni,37200,3692,1653,25000.0,4.929292929292929,2280,3,1,10,126,2140,KOTA MALANG,shopee
7206590884,172251822,[GS] Sedotan Stainless Steel Straw Ramah Lingkungan Lengkung Melengkung,2366,3581,398,738.0,4.788980070339977,853,11,6,20,78,738,KOTA SEMARANG,shopee
2718861806,20133871,Sedotan Bengkok Putih&Hitam,10243977,3481,734,799.0,4.85989417989418,4730,35,12,56,374,4253,KOTA JAKARTA BARAT,shopee
7706591199,172251822,[GS] Sikat Pembersih Dot Bayi Brush Sedotan Stainless Steel Straw Panjang Anti Karet Food Grade,45980,3280,872,490.0,4.8043230944254836,2637,23,14,55,272,2273,KOTA SEMARANG,shopee
3206754702,172251822,[GS] Sedotan Stainless Steel Qualitas Straw Ramah Lingkungan Straight LURUS,12334,3223,326,738.0,4.763917525773196,970,14,7,28,96,825,KOTA SEMARANG,shopee
7032488195,3720074,WBS Sikat Sedotan Stainless Steel Brush Straw Stain Less Bengkok Lurus BA PR050,11530,3366,849,620.0,4.6878555176336745,7036,186,58,244,805,5743,KOTA JAKARTA SELATAN,shopee
17194814412,178227098,Sedotan Stainless Steel Sedotan Ramah Lingkungan Eco Friendly Straw Reuseable,188243,2993,43,747.0,4.693693693693693,333,6,2,12,48,265,KOTA JAKARTA PUSAT,shopee
22975114026,605464704,Sedotan Plastik Hitam ujung runcing Murah (Per Pack),6843,3031,117,8950.0,4.875,640,4,1,4,53,578,KOTA BOGOR,shopee
