itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
2203448401,35794498,Tas Selimut Untuk Kantong Selimut,2236,1999,991,2600.0,4.74749498997996,3502,14,16,115,548,2809,KOTA JAKARTA PUSAT,shopee
22341912086,9468114,EMERGENCY BLANKET / SELIMUT DARURAT / THERMAL BLANKET TAHAN ANGIN/AIR/DINGIN,5,1155,163,4500.0,4.909722222222222,144,0,0,2,9,133,KAB. TANGERANG,shopee
17377070864,687432920,BIGSALE!!!BEDCOVER SET 1 SET BEDCOVER KOTAK-KOTAK MOTIF KOREAN AESTHETIC/BEDCOVER TWO TONE/BEDCOVER 2 WARNA ESTETIK,1579,1100,16324,180000.0,4.851836393989983,9593,18,29,126,1011,8409,KAB. BANDUNG,shopee
13498826989,261911729,kkv alba sol Selimut Berkerudung Selimut Karakter Selimut Tidur Kantor office Air Conditioner Blanket Cloth/bare bear/pink rabbit/panda,251,1009,11089,98900.0,4.914205344585091,711,2,0,4,45,660,KAB. BEKASI,shopee
21851804720,74307013,BEDCOVER SET SPREI AESTHETIC DARK COLOUR TWOTONE,2807,924,30816,220400.0,4.859763313609467,5070,15,16,65,473,4501,KAB. BANDUNG,shopee
20985926884,1107026786,Selimut dewasa Pola polos ukuran 150*200 180*200 200*220,6774,843,614,44850.0,4.902439024390244,410,0,1,8,21,380,KOTA SURABAYA,shopee
23257907326,1028534632,Bedcover\ Selimut Bahan Katun Ukuran 150*200cm dan 180*200 Hangat dan Nyaman untuk Semua Usia,800,747,3484,89000.0,4.932631578947368,475,0,1,3,23,448,KOTA TANGERANG SELATAN,shopee
22882567405,165000949,[TEXANIA] Boneka Bisa Jadi Bantal dan Selimut / Balmut Karakter Buah Lucu 3 in1 Bahan Lembut,91,605,1047,92800.0,4.853658536585366,374,2,0,6,34,332,KOTA TANGERANG,shopee
23161340318,85409655,Orange Official Shop Selimut Anak Karakter Selimut Bulu Halus Super Lembut uk 140x200,593359,591,98,33700.0,4.728744939271255,247,0,2,10,41,194,KOTA JAKARTA UTARA,shopee
20862143918,867977672,SUNGJAE SPREI BEDCOVER BEDCOVER 1 SET PROMO TERBATAS BIG SALE !!! BEDCOVER SET TERMURAH MOTIF KOTAK KOTAK ABSTRAK KOREAN STYLE AESTHETIC - 1 SET BERISI BEDCOVER DAN SPREI + SARBAN + SARGUL ESTEKTIK,6430,563,5411,165600.0,4.842790697674419,3226,5,6,45,379,2791,KAB. BANDUNG,shopee
