itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
21421980911,513639425,Sisir Pomade Pria / Sisir Saku Mini / Sisir Rambut Kecil Souvenir Hotel [PER PCS],797215,41825,235,175.0,4.760719225449516,723,7,5,29,72,610,KOTA JAKARTA UTARA,shopee
11713741882,327282260,Sisir Keramas / Sisir Salon / Perawatan Rambut,46094,21016,654,740.0,4.783251231527093,4878,34,27,153,537,4127,KOTA JAKARTA BARAT,shopee
6649433321,12503533,AZ Sisir Kutu Logam / Serit Logam Kutu Dan Ketombe Gagang Panjang,5060,15039,1335,2950.0,4.848173860549351,6627,32,23,109,595,5868,KOTA JAKARTA UTARA,shopee
7978835494,267092071,Souvenir Sisir SIKAT Kemasan MIKA Motif Souvernir Hadiah Pernikahan Sovenir Murah,9749531,10084,5206,807.0,4.8951477969882875,3696,5,7,34,270,3380,KOTA JAKARTA TIMUR,shopee
11873947881,327282260,Sisir Kutu Logam / Serit Logam Kutu Dan Ketombe Gagang Panjang,74515,9700,382,2948.0,4.803445229681979,4528,39,38,93,434,3924,KOTA JAKARTA BARAT,shopee
15815648228,327282260,ISI 2 PCS SISIR HITAM SET POLOS,4708,6987,294,1479.0,4.8239933582399335,2410,17,12,45,233,2103,KOTA JAKARTA BARAT,shopee
21664782100,26177891,HC Sisir Rambut Gagang Anak Perempuan Polos Bentuk Oval Anti Kusut Wet Brush Mini Warna Pastel Bahan Silikon Sisir Paddle Boneka Empuk,15265,6494,6556,6267.0,4.82486611665943,6909,62,40,110,622,6075,KAB. TANGERANG,shopee
15408551369,206411011,GOOD MADE - Sisir Saku | Sisir Dompet Hitam Pria | COD,4172,6293,553,525.0,4.823696145124717,1764,7,10,41,171,1535,KOTA BANDUNG,shopee
1913022332,6549078,Sisir lipat hitam,31000,6270,1778,5000.0,4.818402777777778,2882,16,9,69,302,2486,KOTA JAKARTA BARAT,shopee
1401212466,2211578,SISIR KUTU / SERIT KUTU / SERIT BESI / SERIT GAGANG PANJANG,12437,6095,2797,2949.0,4.8706842435655995,17526,68,35,238,1416,15769,KOTA JAKARTA UTARA,shopee
7288521473,327282260,Sisir Fancy Karakter / Sisir Rambut Karakter / Hair Comb,921257,5617,798,1920.0,4.823543572460279,4154,30,11,91,398,3624,KOTA JAKARTA BARAT,shopee
6904395249,3188474,NA AISHU Sisir Rambut Gagang / Hair Comb / Sisir Fancy,2947,4795,2267,1620.0,4.88792598664949,8544,25,16,90,639,7774,KOTA BOGOR,shopee
6692245660,24064811,Sisir SERIT PLASTIK  / Sisir Kutu Plastik Premium / Sisir Kerep / Sisir Rambut,9957969,4646,432,675.0,4.674476393326233,5635,100,89,243,684,4519,KOTA JAKARTA UTARA,shopee
22739269195,26177891,HC Sisir Anak Set Isi 2pcs Karakter Kartun Lucu Sisir Runcing 2 Pcs Sisir Gagang Plastik Premium Warna Warni Sisir Rambut Set Pria Dan Wanita Murah,47614,4191,683,3398.0,4.749507389162561,4060,56,43,100,464,3397,KAB. TANGERANG,shopee
4971264398,327282260,SISIR RAMBUT RENGGANG KOREA LUCU KARAKTER,4937,4191,871,1920.0,4.864363552051936,4313,23,13,48,358,3871,KOTA JAKARTA BARAT,shopee
14642859138,654149925,Sisir Fancy Karakter / Sisir Rambut Karakter / Hair Comb,54609,4088,2243,1919.0,4.788382687927107,4390,47,43,102,408,3790,KOTA JAKARTA BARAT,shopee
9121330549,201299883,Sisir Kutu Gagang Logam/ Sisir Kutu Panjang,12375,4105,473,2850.0,4.756925583921782,3683,36,27,117,437,3066,KOTA JAKARTA BARAT,shopee
3646283709,285424646,SISIR Kutu Logam / Serit Logam Ketombe Gagang Panjang Harga Grosir,417,3818,2221,2950.0,4.839865763312861,15805,98,53,291,1402,13961,KOTA JAKARTA UTARA,shopee
23322557086,112888401,STRAIGHT COMB / Sisir Catok Pelurus Rambut Elektrik,731,3338,3921,33999.0,4.580215917650013,3983,69,64,228,748,2874,KOTA SURABAYA,shopee
5368813495,78866089,sisir rambut premium impor,54258,3325,703,1699.0,4.829891672308734,5908,45,25,97,556,5185,KOTA JAKARTA BARAT,shopee
7257559222,319148870,MATAHARI GROSIR sisir Kutu Logam / Serit Logam Kutu Dan Ketombe Gagang Panjang Harga GrOSIR,7199,3010,197,3009.0,4.788839568801522,1580,7,12,47,175,1339,KOTA JAKARTA UTARA,shopee
10183338026,654149925,SISIR RAMBUT RENGGANG KOREA LUCU KARAKTER,95778,3030,793,1919.0,4.846911369740376,2235,15,8,41,176,1995,KOTA JAKARTA BARAT,shopee
15239134848,654149925,Sisir Kutu Logam Terminator / Serit Logam Kutu Dan Ketombe Gagang Panjang,3517,2998,117,2947.0,4.771686328938237,1441,19,17,21,160,1224,KOTA JAKARTA BARAT,shopee
10978503992,11754510,THE WET BRUSH Detangler Ori / Disney Princess /Squirt / Flex Dry / Pop n Go /Mini Disney Princess,7475,2946,19841,71200.0,4.922232154258715,7846,22,15,57,362,7390,KOTA JAKARTA PUSAT,shopee
21845472657,178227098,Sisir Keramas Bulat Sisir Sikat Rambut Pijat Head Massage Anti Ketombe,80621,2868,545,735.0,4.689262318427798,3511,44,29,157,514,2767,KOTA JAKARTA PUSAT,shopee
