itemid,shopid,name,stock,sold,liked,price,rating_star,total_rating,rating_1,rating_2,rating_3,rating_4,rating_5,shop_location,shop
23443102571,823581736,LUNCH BOX PAPER KOTAK BUNGKUS NASI FOOD GRADE KERTAS BAHAN KRAFT ECO,1112189,1310748,10022,248.0,4.875906059727457,14003,31,31,151,1201,12589,KOTA JAKARTA BARAT,shopee
17092523633,484377982,Paper Lunch  Box Extra Small / Dus Takoyaki / Kotak Dimsum / Lunch Box XS / Kotak Siomay,5137,208447,4220,252.0,4.891967403958091,4356,10,9,43,313,3981,KAB. BEKASI,shopee
17872297706,178932000,LUNCH BOX PAPER - MEDIUM / KOTAK MAKAN / DUS NASI / KOTAK BUNGKUS NASI / KOTAK TAKEAWAY NASI GORENG AYAM GORENG GEPREK MIE GORENG,2048358,167440,2626,279.0,4.888965044551062,5951,10,11,53,494,5383,KOTA JAKARTA BARAT,shopee
6894274752,484377982,"Paper Lunch Box Size S,M,L Model Selip / Box Makanan Kraft",425782,121733,4346,261.0,4.9016515399494125,6757,21,10,51,446,6229,KAB. BEKASI,shopee
15189831545,440300676,Lunch Box Paper / SIZE M / Kraft Coklat Laminasi PE Food Grade,2400,106899,683,270.0,4.893545683151719,1196,4,3,5,92,1092,KAB. BEKASI,shopee
21260338200,164751069,PAPER LUNCH BOX / KOTAK MAKAN KERTAS LAMINASI ECO KRAFT SEMUA UK,5958426,88509,513,399.0,4.926183844011142,727,2,3,9,18,695,KOTA JAKARTA TIMUR,shopee
19620327588,754422102,"PAPER LUNCH BOX BAHAN KRAFT/LUNCH BOX PAPER COKLAT SIZE M , L , S , XS",5973076,87160,546,400.0,4.89907192575406,865,5,1,9,46,804,KOTA JAKARTA TIMUR,shopee
7639460421,236330437,Paper lunch box kraft medium dan large / dus kotak nasi take away / paper box,2332643,72129,9419,625.0,4.912170818505338,7047,28,20,53,343,6603,KOTA JAKARTA BARAT,shopee
21382140923,53101052,Paper LunchBox M Reguler (Tanpa Merek)/Termurahhhhhh!!!!,1060,66863,491,390.0,4.88973063973064,1226,1,1,15,94,1115,KOTA SURABAYA,shopee
21388755869,484377982,"PAPER LUNCH BOX M EKONOMIS, KRAFT LAMINASI, MEDIUM EKONOMIS",20296,65452,404,261.0,4.795798319327731,1201,15,7,25,112,1042,KAB. BEKASI,shopee
6979892162,257014725,Thinwall PERSEGI PANJANG 500ml + Tutup / Kotak Makan Plastik 500 ml FREE PACKING [ECERAN],108775,54563,13690,830.0,4.926176922381856,22583,12,32,169,1161,21209,KAB. BANDUNG,shopee
20750137496,484377982,Paper Lunch Box Food Grade Size S/ Kotak Makan Kraft PE / Box Nasi - Pola Internasional Size S,155,48286,190,267.0,4.907894736842105,306,0,0,4,20,282,KAB. BEKASI,shopee
22236952666,53101052,Paper Lunchbox Murah Full Laminasi,128442,42769,426,390.0,4.905772495755518,1193,4,1,7,78,1103,KOTA SURABAYA,shopee
17779013147,815759591,PAPER LUNCH BOX M BAHAN KRAFT/LUNCH BOX PAPER M COKLAT MURAH,13901,39910,84,390.0,4.9775,416,0,0,1,7,408,KOTA BANDUNG,shopee
21790700770,1001975667,Lunch Box Hijau /paperlunchbox/lunchbox/dusmakanan/dus ayam geprek/dus nasi goreng/dus mie yamin/dus ayam goreng/dus nasi goreng/take away/box paper/dus cetak/dus motif,21077,39359,450,522.0,4.886363636363637,440,1,0,3,40,396,KOTA BANDUNG,shopee
5239201609,257014725,Thinwall PERSEGI PANJANG 750ml + Tutup FREE PACKING / Kotak Makan Plastik 750 ml [ECERAN],953395,37553,5838,910.0,4.927882951905492,20505,18,20,155,1028,19284,KAB. BANDUNG,shopee
22752389384,1001975667,Lunch Box Cetak Cokelat Size M 290gsm Kotak Makan Kertas Brown Paper Box Makanan Dus Kraft Craft Grosir Murah,23847,36543,723,525.0,4.932461873638344,474,0,0,4,23,447,KOTA BANDUNG,shopee
6239198884,257014725,Thinwall PERSEGI PANJANG 650ml + Tutup / Kotak Makan Plastik 650 ml FREE PACKING [ECERAN],51033,36108,4053,860.0,4.931159158290549,14023,12,8,90,702,13211,KAB. BANDUNG,shopee
4480123250,257014725,Thinwall BUJUR SANGKAR 2000ml + Tutup / Kotak Makan Plastik 2000 ml FREE PACKING [ECERAN],87777,35073,5248,2299.0,4.893070259865255,10508,27,28,136,658,9659,KAB. BANDUNG,shopee
7441567047,280943324,"FREE PACKING DUS SIAP KIRIM Thinwall 500,650,750,1000ML THINWALL RECTANGLE / Food Container / Kotak Makan Plastik / Thinwall 500 650 750 1000ml",131484,32759,11420,899.0,4.901690755385874,7692,15,21,108,424,7124,KOTA JAKARTA BARAT,shopee
8369476919,326580687,Brown Paper Craft Lunch Box Size M Lembaran / Lipatan - Lunch Box Coklat Craft Ukuran M Lembaran,58782,32474,2208,370.0,4.912753036437247,5065,10,10,38,291,4716,KAB. SIDOARJO,shopee
20272655277,440300676,Paper Lunch  Box Extra Small / Dus Takoyaki / Kotak Dimsum / Lunch Box XS / Kotak Siomay,119,31401,412,252.0,4.8802992518703245,401,1,3,7,21,369,KAB. BEKASI,shopee
17153041974,178932000,LUNCH BOX PAPER - SMALL / KOTAK MAKAN / DUS NASI / KOTAK BUNGKUS NASI / KOTAK TAKEAWAY AYAM GORENG GEPREK MIE GORENG DIMSUM SIOMAY,1892696,31258,3485,277.0,4.857221006564552,1844,8,8,22,161,1645,KOTA JAKARTA BARAT,shopee
2109736328,21689162,BOX GEPREK / HOTWING / TAKOYAKI / DIMSUM POLOS/ LUNCHBOX UK.S @1Pcs,260836,30998,7265,295.0,4.922175339896859,6588,11,6,58,320,6193,KOTA BEKASI,shopee
5939200995,257014725,Thinwall PERSEGI PANJANG 1000ml + Tutup / Kotak Makan Plastik 1000 ml FREE PACKING [ECERAN],957366,29409,8124,999.0,4.906405662850651,23079,35,51,262,1337,21394,KAB. BANDUNG,shopee
7762625442,311583641,Thinwall Rectangle Thinwall 200ml 250ml 300ml 500ml 650ml 750ml 1000ml/ kotak makan plastik,118776,27884,4803,835.0,4.8797450817400945,3613,22,11,49,215,3316,KOTA JAKARTA BARAT,shopee
